Collection_Date,Species,Average_Detections,Standard_Error,N_Samples
2025-06-22,Ran_ado,228.22222222222223,168.55890643413537,9
2025-06-23,Cal_chi,123.0,119.0,2
2025-06-24,Ran_ado,15.4,3.679371927079101,10
2025-06-25,Cal_chi,18.0,10.816653826391969,3
2025-06-26,Ran_ado,25.666666666666668,8.74642784226795,9
2025-06-27,Cal_chi,4.5,3.5,2
2025-06-28,Ran_ado,314.1111111111111,137.67276463940425,9
2025-06-29,Cal_chi,748.4,271.50001841620565,5
2025-06-30,Ran_ado,181.55555555555554,164.41817545439764,9
2025-07-01,Cal_chi,267.0,0.0,1
2025-07-02,Ran_ado,321.0,247.72055268431447,9
2025-07-03,Cal_chi,566.5,517.3925814440456,4
2025-07-04,Ran_ado,230.22222222222223,127.96644284275138,9
2025-07-05,Cal_chi,180.5,97.31264049443936,4
2025-07-06,Ran_ado,258.4166666666667,170.3762973597566,12
2025-07-07,Cal_chi,13.25,5.513241635674364,4
2025-07-08,Ran_ado,168.0,94.89822299322958,11
2025-07-10,Ran_ado,198.33333333333334,101.74191204546268,9
2025-07-11,Cal_chi,15.0,2.516611478423583,3
2025-07-12,Ran_ado,12.11111111111111,2.4633110308217074,9
2025-07-13,Cal_chi,14.0,11.0,2
2025-07-14,Ran_ado,183.41666666666666,118.77343203160231,12
2025-07-16,Ran_ado,163.875,153.73788424969112,8
2025-07-17,Cal_chi,3.0,0.0,1
2025-07-18,Ran_ado,518.3333333333334,206.94697510485747,12
2025-07-20,Ran_ado,23.125,16.282590944230677,8
2025-07-22,Ran_ado,387.90909090909093,160.10124379424042,11
2025-07-24,Ran_ado,58.0,27.154161464653715,12
2025-07-26,Ran_ado,604.3333333333334,287.6542361863624,12
2025-07-28,Ran_ado,296.6666666666667,238.95606290697043,9
2025-07-30,Ran_ado,779.0,364.08781824436176,12
2025-08-01,Ran_ado,341.27272727272725,184.53214013770514,11
2025-08-03,Ran_ado,369.4,306.5369000807425,10
